City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Ilhabela,BR,71.82,overcast clouds,-23.78,-45.36,Ilha Flat Hotel
566,Payo,ID,92.8,overcast clouds,-3.75,103.64,Mess keban agung
568,Dalby,AU,95.0,clear sky,-27.18,151.27,Kobbers Motor Inn Dalby
569,Kirakira,SB,85.39,light rain,-10.45,161.92,SanBiz Lodge
570,Kaili,ID,80.38,moderate rain,-3.46,120.21,
575,Kilimatinde,TZ,71.04,broken clouds,-5.85,34.95,
577,Sinnamary,GF,79.63,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
580,Flinders,AU,79.0,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
583,Ouadda,CF,67.68,clear sky,8.08,22.4,
584,Arlit,NE,69.12,clear sky,18.74,7.39,Hôtel Telwa Bungalow
585,Mount Pleasant,US,68.0,clear sky,32.79,-79.86,Best Western Patriots Point
588,Antalaha,MG,76.12,light rain,-14.9,50.28,Hotel Vitasoa
592,Bongaree,AU,91.99,few clouds,-27.08,153.16,The Gums Anchorage
595,Barra Do Bugres,BR,74.17,light rain,-15.07,-57.18,Hotel 4am Petrofurt
597,Arona,ES,73.99,broken clouds,28.1,-16.68,Paradise Court
598,Agua Dulce,MX,76.77,light rain,18.13,-94.13,Hotel Victoria
602,Ndende,GA,72.0,overcast clouds,-2.4,11.36,
603,Cootamundra,AU,79.0,few clouds,-34.65,148.03,Cootamundra Gardens Motel
604,Mundra,IN,81.32,clear sky,22.85,69.73,Hotel Bansidhar Palace
605,Ternate,ID,85.41,light rain,0.8,127.4,Grand Dafam Bela Ternate
606,Sitio Novo Do Tocantins,BR,77.68,scattered clouds,-5.52,-47.46,Imperial Hotel
607,Juxtlahuaca,MX,71.49,broken clouds,17.43,-99.15,"Casa de Huespedes ""El centro"""
611,Dakar,SN,78.8,clear sky,14.69,-17.44,Novotel Dakar
614,Auki,SB,83.62,light rain,-8.77,160.7,Auki Motel
617,Mazagao,BR,80.6,scattered clouds,-0.12,-51.29,Casa Lima Santos
618,Obo,CF,67.8,scattered clouds,5.4,26.49,
619,Port-Gentil,GA,78.1,overcast clouds,-0.72,8.78,Fengshui Residence
621,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
622,Pangai,TO,82.4,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
626,Kantang,TH,86.0,few clouds,7.41,99.52,Reng Ta Chai Boutique HomeStay
629,Honiara,SB,89.6,few clouds,-9.43,159.95,Heritage Park Hotel
630,Praia,CV,75.2,clear sky,14.92,-23.51,LT Aparthotel
637,Soe,ID,91.29,clear sky,-9.86,124.28,Dena Hotel
640,Mandurah,AU,68.0,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
641,Natal,BR,77.0,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
643,Mackay,AU,89.01,clear sky,-21.15,149.2,International Lodge Motel
644,Colomi,BO,66.2,few clouds,-17.35,-65.87,Residencial EL TURISMO
648,Labuhan,ID,89.56,clear sky,-6.88,112.21,bador sepret
650,Gwadar,PK,75.33,clear sky,25.12,62.33,Sadaf Resort
653,Laem Sing,TH,84.2,overcast clouds,12.48,102.07,Laemsing Whitehouse Resort
660,Buta,CD,68.2,broken clouds,2.79,24.73,HOTEL BISO NA BISO
664,Makurdi,NG,74.82,broken clouds,7.74,8.51,Doo Palace Hotel
665,Bubaque,GW,84.0,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
667,Maragogi,BR,76.33,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
670,Abapo,BO,68.59,clear sky,-18.83,-63.47,
673,Coahuayana,MX,74.82,broken clouds,18.73,-103.68,Hotel Los Arcos
675,Siyabuswa,ZA,68.99,few clouds,-25.11,29.04,Uluju properties
677,Merauke,ID,86.97,clear sky,-8.47,140.33,
